店舗名,郵便番号,住所,曜日帯,開始時間,終了時間,種別,システム,料金
洛北店,606-0863,京都府京都市左京区下鴨東本町26-3 デミ洛北地下1F（受付：B1F）,金土祝前,18:00,5:00,会員,夜フリータイム,3240
洛北店,606-0863,京都府京都市左京区下鴨東本町26-3 デミ洛北地下1F（受付：B1F）,金土祝前,18:00,5:00,シニア,夜フリータイム,3240
洛北店,606-0863,京都府京都市左京区下鴨東本町26-3 デミ洛北地下1F（受付：B1F）,金土祝前,18:00,5:00,一般,夜フリータイム,3610
洛北店,606-0863,京都府京都市左京区下鴨東本町26-3 デミ洛北地下1F（受付：B1F）,平日,23:00,5:00,学生会員,深夜フリータイム,1740
洛北店,606-0863,京都府京都市左京区下鴨東本町26-3 デミ洛北地下1F（受付：B1F）,平日,23:00,5:00,学生,深夜フリータイム,1860
洛北店,606-0863,京都府京都市左京区下鴨東本町26-3 デミ洛北地下1F（受付：B1F）,平日,23:00,5:00,会員,深夜フリータイム,1780
洛北店,606-0863,京都府京都市左京区下鴨東本町26-3 デミ洛北地下1F（受付：B1F）,平日,23:00,5:00,シニア,深夜フリータイム,1780
洛北店,606-0863,京都府京都市左京区下鴨東本町26-3 デミ洛北地下1F（受付：B1F）,平日,23:00,5:00,一般,深夜フリータイム,1970
洛北店,606-0863,京都府京都市左京区下鴨東本町26-3 デミ洛北地下1F（受付：B1F）,金土祝前,23:00,5:00,学生会員,深夜フリータイム,2780
洛北店,606-0863,京都府京都市左京区下鴨東本町26-3 デミ洛北地下1F（受付：B1F）,金土祝前,23:00,5:00,学生,深夜フリータイム,2940
洛北店,606-0863,京都府京都市左京区下鴨東本町26-3 デミ洛北地下1F（受付：B1F）,金土祝前,23:00,5:00,会員,深夜フリータイム,2880
洛北店,606-0863,京都府京都市左京区下鴨東本町26-3 デミ洛北地下1F（受付：B1F）,金土祝前,23:00,5:00,シニア,深夜フリータイム,2880
洛北店,606-0863,京都府京都市左京区下鴨東本町26-3 デミ洛北地下1F（受付：B1F）,金土祝前,23:00,5:00,一般,深夜フリータイム,3230
住道駅前店,574-0046,大阪府大東市赤井1-3-22 住道はりまやビル2FJR住道駅 北出口より徒歩5分（受付：2F）,平日,11:00,19:00,学生会員,30分,260
住道駅前店,574-0046,大阪府大東市赤井1-3-22 住道はりまやビル2FJR住道駅 北出口より徒歩5分（受付：2F）,平日,11:00,19:00,学生,30分,270
住道駅前店,574-0046,大阪府大東市赤井1-3-22 住道はりまやビル2FJR住道駅 北出口より徒歩5分（受付：2F）,平日,11:00,19:00,会員,30分,270
住道駅前店,574-0046,大阪府大東市赤井1-3-22 住道はりまやビル2FJR住道駅 北出口より徒歩5分（受付：2F）,平日,11:00,19:00,シニア,30分,270
住道駅前店,574-0046,大阪府大東市赤井1-3-22 住道はりまやビル2FJR住道駅 北出口より徒歩5分（受付：2F）,平日,11:00,19:00,一般,30分,320
住道駅前店,574-0046,大阪府大東市赤井1-3-22 住道はりまやビル2FJR住道駅 北出口より徒歩5分（受付：2F）,土日祝,11:00,19:00,学生会員,30分,310
住道駅前店,574-0046,大阪府大東市赤井1-3-22 住道はりまやビル2FJR住道駅 北出口より徒歩5分（受付：2F）,土日祝,11:00,19:00,学生,30分,320
住道駅前店,574-0046,大阪府大東市赤井1-3-22 住道はりまやビル2FJR住道駅 北出口より徒歩5分（受付：2F）,土日祝,11:00,19:00,会員,30分,320
住道駅前店,574-0046,大阪府大東市赤井1-3-22 住道はりまやビル2FJR住道駅 北出口より徒歩5分（受付：2F）,土日祝,11:00,19:00,シニア,30分,320
住道駅前店,574-0046,大阪府大東市赤井1-3-22 住道はりまやビル2FJR住道駅 北出口より徒歩5分（受付：2F）,土日祝,11:00,19:00,一般,30分,360
住道駅前店,574-0046,大阪府大東市赤井1-3-22 住道はりまやビル2FJR住道駅 北出口より徒歩5分（受付：2F）,平日,11:00,19:00,学生会員,昼フリータイム,1380
住道駅前店,574-0046,大阪府大東市赤井1-3-22 住道はりまやビル2FJR住道駅 北出口より徒歩5分（受付：2F）,平日,11:00,19:00,学生,昼フリータイム,1440
住道駅前店,574-0046,大阪府大東市赤井1-3-22 住道はりまやビル2FJR住道駅 北出口より徒歩5分（受付：2F）,平日,11:00,19:00,会員,昼フリータイム,1450
住道駅前店,574-0046,大阪府大東市赤井1-3-22 住道はりまやビル2FJR住道駅 北出口より徒歩5分（受付：2F）,平日,11:00,19:00,シニア,昼フリータイム,1450
住道駅前店,574-0046,大阪府大東市赤井1-3-22 住道はりまやビル2FJR住道駅 北出口より徒歩5分（受付：2F）,平日,11:00,19:00,一般,昼フリータイム,1610
住道駅前店,574-0046,大阪府大東市赤井1-3-22 住道はりまやビル2FJR住道駅 北出口より徒歩5分（受付：2F）,土日祝,11:00,19:00,学生会員,昼フリータイム,1610
住道駅前店,574-0046,大阪府大東市赤井1-3-22 住道はりまやビル2FJR住道駅 北出口より徒歩5分（受付：2F）,土日祝,11:00,19:00,学生,昼フリータイム,1660
住道駅前店,574-0046,大阪府大東市赤井1-3-22 住道はりまやビル2FJR住道駅 北出口より徒歩5分（受付：2F）,土日祝,11:00,19:00,会員,昼フリータイム,1700
住道駅前店,574-0046,大阪府大東市赤井1-3-22 住道はりまやビル2FJR住道駅 北出口より徒歩5分（受付：2F）,土日祝,11:00,19:00,シニア,昼フリータイム,1700
住道駅前店,574-0046,大阪府大東市赤井1-3-22 住道はりまやビル2FJR住道駅 北出口より徒歩5分（受付：2F）,土日祝,11:00,19:00,一般,昼フリータイム,1790
住道駅前店,574-0046,大阪府大東市赤井1-3-22 住道はりまやビル2FJR住道駅 北出口より徒歩5分（受付：2F）,平日,15:00,21:00,学生会員,夕方フリータイム,1380
住道駅前店,574-0046,大阪府大東市赤井1-3-22 住道はりまやビル2FJR住道駅 北出口より徒歩5分（受付：2F）,平日,15:00,21:00,学生,夕方フリータイム,1480
住道駅前店,574-0046,大阪府大東市赤井1-3-22 住道はりまやビル2FJR住道駅 北出口より徒歩5分（受付：2F）,平日,15:00,21:00,会員,夕方フリータイム,1450
住道駅前店,574-0046,大阪府大東市赤井1-3-22 住道はりまやビル2FJR住道駅 北出口より徒歩5分（受付：2F）,平日,15:00,21:00,シニア,夕方フリータイム,1450
住道駅前店,574-0046,大阪府大東市赤井1-3-22 住道はりまやビル2FJR住道駅 北出口より徒歩5分（受付：2F）,平日,15:00,21:00,一般,夕方フリータイム,1610
住道駅前店,574-0046,大阪府大東市赤井1-3-22 住道はりまやビル2FJR住道駅 北出口より徒歩5分（受付：2F）,土日祝,15:00,21:00,学生会員,夕方フリータイム,1610
住道駅前店,574-0046,大阪府大東市赤井1-3-22 住道はりまやビル2FJR住道駅 北出口より徒歩5分（受付：2F）,土日祝,15:00,21:00,学生,夕方フリータイム,1720
住道駅前店,574-0046,大阪府大東市赤井1-3-22 住道はりまやビル2FJR住道駅 北出口より徒歩5分（受付：2F）,土日祝,15:00,21:00,会員,夕方フリータイム,1700
住道駅前店,574-0046,大阪府大東市赤井1-3-22 住道はりまやビル2FJR住道駅 北出口より徒歩5分（受付：2F）,土日祝,15:00,21:00,シニア,夕方フリータイム,1700
住道駅前店,574-0046,大阪府大東市赤井1-3-22 住道はりまやビル2FJR住道駅 北出口より徒歩5分（受付：2F）,土日祝,15:00,21:00,一般,夕方フリータイム,1790
住道駅前店,574-0046,大阪府大東市赤井1-3-22 住道はりまやビル2FJR住道駅 北出口より徒歩5分（受付：2F）,平日,19:00,5:00,学生会員,30分,420
住道駅前店,574-0046,大阪府大東市赤井1-3-22 住道はりまやビル2FJR住道駅 北出口より徒歩5分（受付：2F）,平日,19:00,5:00,学生,30分,430
住道駅前店,574-0046,大阪府大東市赤井1-3-22 住道はりまやビル2FJR住道駅 北出口より徒歩5分（受付：2F）,平日,19:00,5:00,会員,30分,450
住道駅前店,574-0046,大阪府大東市赤井1-3-22 住道はりまやビル2FJR住道駅 北出口より徒歩5分（受付：2F）,平日,19:00,5:00,シニア,30分,450
住道駅前店,574-0046,大阪府大東市赤井1-3-22 住道はりまやビル2FJR住道駅 北出口より徒歩5分（受付：2F）,平日,19:00,5:00,一般,30分,500
住道駅前店,574-0046,大阪府大東市赤井1-3-22 住道はりまやビル2FJR住道駅 北出口より徒歩5分（受付：2F）,金土日祝祝前,19:00,5:00,学生会員,30分,470
住道駅前店,574-0046,大阪府大東市赤井1-3-22 住道はりまやビル2FJR住道駅 北出口より徒歩5分（受付：2F）,金土日祝祝前,19:00,5:00,学生,30分,520
住道駅前店,574-0046,大阪府大東市赤井1-3-22 住道はりまやビル2FJR住道駅 北出口より徒歩5分（受付：2F）,金土日祝祝前,19:00,5:00,会員,30分,510
住道駅前店,574-0046,大阪府大東市赤井1-3-22 住道はりまやビル2FJR住道駅 北出口より徒歩5分（受付：2F）,金土日祝祝前,19:00,5:00,シニア,30分,510
住道駅前店,574-0046,大阪府大東市赤井1-3-22 住道はりまやビル2FJR住道駅 北出口より徒歩5分（受付：2F）,金土日祝祝前,19:00,5:00,一般,30分,640
住道駅前店,574-0046,大阪府大東市赤井1-3-22 住道はりまやビル2FJR住道駅 北出口より徒歩5分（受付：2F）,平日,18:00,5:00,学生会員,夜フリータイム,1570
住道駅前店,574-0046,大阪府大東市赤井1-3-22 住道はりまやビル2FJR住道駅 北出口より徒歩5分（受付：2F）,平日,18:00,5:00,学生,夜フリータイム,1610
住道駅前店,574-0046,大阪府大東市赤井1-3-22 住道はりまやビル2FJR住道駅 北出口より徒歩5分（受付：2F）,平日,18:00,5:00,会員,夜フリータイム,1740
住道駅前店,574-0046,大阪府大東市赤井1-3-22 住道はりまやビル2FJR住道駅 北出口より徒歩5分（受付：2F）,平日,18:00,5:00,シニア,夜フリータイム,1740
住道駅前店,574-0046,大阪府大東市赤井1-3-22 住道はりまやビル2FJR住道駅 北出口より徒歩5分（受付：2F）,平日,18:00,5:00,一般,夜フリータイム,1890
住道駅前店,574-0046,大阪府大東市赤井1-3-22 住道はりまやビル2FJR住道駅 北出口より徒歩5分（受付：2F）,金土祝前,18:00,5:00,学生会員,夜フリータイム,1980
住道駅前店,574-0046,大阪府大東市赤井1-3-22 住道はりまやビル2FJR住道駅 北出口より徒歩5分（受付：2F）,金土祝前,18:00,5:00,学生,夜フリータイム,2180
住道駅前店,574-0046,大阪府大東市赤井1-3-22 住道はりまやビル2FJR住道駅 北出口より徒歩5分（受付：2F）,金土祝前,18:00,5:00,会員,夜フリータイム,2150
住道駅前店,574-0046,大阪府大東市赤井1-3-22 住道はりまやビル2FJR住道駅 北出口より徒歩5分（受付：2F）,金土祝前,18:00,5:00,シニア,夜フリータイム,2150
住道駅前店,574-0046,大阪府大東市赤井1-3-22 住道はりまやビル2FJR住道駅 北出口より徒歩5分（受付：2F）,金土祝前,18:00,5:00,一般,夜フリータイム,2600
阪急茨木店,567-0816,大阪府茨木市永代町6-2 スポーツプラザ茨木ビル1F阪急京都本線 茨木市駅 西出口より徒歩4分（受付：1F）,平日,8:00,10:00,学生会員,30分,170
阪急茨木店,567-0816,大阪府茨木市永代町6-2 スポーツプラザ茨木ビル1F阪急京都本線 茨木市駅 西出口より徒歩4分（受付：1F）,平日,8:00,10:00,学生,30分,200
阪急茨木店,567-0816,大阪府茨木市永代町6-2 スポーツプラザ茨木ビル1F阪急京都本線 茨木市駅 西出口より徒歩4分（受付：1F）,平日,8:00,10:00,会員,30分,190
阪急茨木店,567-0816,大阪府茨木市永代町6-2 スポーツプラザ茨木ビル1F阪急京都本線 茨木市駅 西出口より徒歩4分（受付：1F）,平日,8:00,10:00,シニア,30分,95
阪急茨木店,567-0816,大阪府茨木市永代町6-2 スポーツプラザ茨木ビル1F阪急京都本線 茨木市駅 西出口より徒歩4分（受付：1F）,平日,8:00,10:00,一般,30分,230
阪急茨木店,567-0816,大阪府茨木市永代町6-2 スポーツプラザ茨木ビル1F阪急京都本線 茨木市駅 西出口より徒歩4分（受付：1F）,土日祝,8:00,10:00,学生会員,30分,230
阪急茨木店,567-0816,大阪府茨木市永代町6-2 スポーツプラザ茨木ビル1F阪急京都本線 茨木市駅 西出口より徒歩4分（受付：1F）,土日祝,8:00,10:00,学生,30分,260
阪急茨木店,567-0816,大阪府茨木市永代町6-2 スポーツプラザ茨木ビル1F阪急京都本線 茨木市駅 西出口より徒歩4分（受付：1F）,土日祝,8:00,10:00,会員,30分,250
阪急茨木店,567-0816,大阪府茨木市永代町6-2 スポーツプラザ茨木ビル1F阪急京都本線 茨木市駅 西出口より徒歩4分（受付：1F）,土日祝,8:00,10:00,シニア,30分,125
阪急茨木店,567-0816,大阪府茨木市永代町6-2 スポーツプラザ茨木ビル1F阪急京都本線 茨木市駅 西出口より徒歩4分（受付：1F）,土日祝,8:00,10:00,一般,30分,300
阪急茨木店,567-0816,大阪府茨木市永代町6-2 スポーツプラザ茨木ビル1F阪急京都本線 茨木市駅 西出口より徒歩4分（受付：1F）,平日,10:00,19:00,学生会員,30分,170
阪急茨木店,567-0816,大阪府茨木市永代町6-2 スポーツプラザ茨木ビル1F阪急京都本線 茨木市駅 西出口より徒歩4分（受付：1F）,平日,10:00,19:00,学生,30分,200
阪急茨木店,567-0816,大阪府茨木市永代町6-2 スポーツプラザ茨木ビル1F阪急京都本線 茨木市駅 西出口より徒歩4分（受付：1F）,平日,10:00,19:00,会員,30分,190
阪急茨木店,567-0816,大阪府茨木市永代町6-2 スポーツプラザ茨木ビル1F阪急京都本線 茨木市駅 西出口より徒歩4分（受付：1F）,平日,10:00,19:00,シニア,30分,190
阪急茨木店,567-0816,大阪府茨木市永代町6-2 スポーツプラザ茨木ビル1F阪急京都本線 茨木市駅 西出口より徒歩4分（受付：1F）,平日,10:00,19:00,一般,30分,230
阪急茨木店,567-0816,大阪府茨木市永代町6-2 スポーツプラザ茨木ビル1F阪急京都本線 茨木市駅 西出口より徒歩4分（受付：1F）,土日祝,10:00,19:00,学生会員,30分,230
阪急茨木店,567-0816,大阪府茨木市永代町6-2 スポーツプラザ茨木ビル1F阪急京都本線 茨木市駅 西出口より徒歩4分（受付：1F）,土日祝,10:00,19:00,学生,30分,260
阪急茨木店,567-0816,大阪府茨木市永代町6-2 スポーツプラザ茨木ビル1F阪急京都本線 茨木市駅 西出口より徒歩4分（受付：1F）,土日祝,10:00,19:00,会員,30分,250
阪急茨木店,567-0816,大阪府茨木市永代町6-2 スポーツプラザ茨木ビル1F阪急京都本線 茨木市駅 西出口より徒歩4分（受付：1F）,土日祝,10:00,19:00,シニア,30分,250
阪急茨木店,567-0816,大阪府茨木市永代町6-2 スポーツプラザ茨木ビル1F阪急京都本線 茨木市駅 西出口より徒歩4分（受付：1F）,土日祝,10:00,19:00,一般,30分,300
阪急茨木店,567-0816,大阪府茨木市永代町6-2 スポーツプラザ茨木ビル1F阪急京都本線 茨木市駅 西出口より徒歩4分（受付：1F）,平日,10:00,19:00,学生会員,昼フリータイム,1060
阪急茨木店,567-0816,大阪府茨木市永代町6-2 スポーツプラザ茨木ビル1F阪急京都本線 茨木市駅 西出口より徒歩4分（受付：1F）,平日,10:00,19:00,学生,昼フリータイム,1160
阪急茨木店,567-0816,大阪府茨木市永代町6-2 スポーツプラザ茨木ビル1F阪急京都本線 茨木市駅 西出口より徒歩4分（受付：1F）,平日,10:00,19:00,会員,昼フリータイム,1090
阪急茨木店,567-0816,大阪府茨木市永代町6-2 スポーツプラザ茨木ビル1F阪急京都本線 茨木市駅 西出口より徒歩4分（受付：1F）,平日,10:00,19:00,シニア,昼フリータイム,1090
阪急茨木店,567-0816,大阪府茨木市永代町6-2 スポーツプラザ茨木ビル1F阪急京都本線 茨木市駅 西出口より徒歩4分（受付：1F）,平日,10:00,19:00,一般,昼フリータイム,1230
阪急茨木店,567-0816,大阪府茨木市永代町6-2 スポーツプラザ茨木ビル1F阪急京都本線 茨木市駅 西出口より徒歩4分（受付：1F）,土日祝,10:00,19:00,学生会員,昼フリータイム,1210
阪急茨木店,567-0816,大阪府茨木市永代町6-2 スポーツプラザ茨木ビル1F阪急京都本線 茨木市駅 西出口より徒歩4分（受付：1F）,土日祝,10:00,19:00,学生,昼フリータイム,1360
阪急茨木店,567-0816,大阪府茨木市永代町6-2 スポーツプラザ茨木ビル1F阪急京都本線 茨木市駅 西出口より徒歩4分（受付：1F）,土日祝,10:00,19:00,会員,昼フリータイム,1370
阪急茨木店,567-0816,大阪府茨木市永代町6-2 スポーツプラザ茨木ビル1F阪急京都本線 茨木市駅 西出口より徒歩4分（受付：1F）,土日祝,10:00,19:00,シニア,昼フリータイム,1370
阪急茨木店,567-0816,大阪府茨木市永代町6-2 スポーツプラザ茨木ビル1F阪急京都本線 茨木市駅 西出口より徒歩4分（受付：1F）,土日祝,10:00,19:00,一般,昼フリータイム,1570
阪急茨木店,567-0816,大阪府茨木市永代町6-2 スポーツプラザ茨木ビル1F阪急京都本線 茨木市駅 西出口より徒歩4分（受付：1F）,平日,16:00,22:00,学生会員,夕方フリータイム,1480
阪急茨木店,567-0816,大阪府茨木市永代町6-2 スポーツプラザ茨木ビル1F阪急京都本線 茨木市駅 西出口より徒歩4分（受付：1F）,平日,16:00,22:00,学生,夕方フリータイム,1660
阪急茨木店,567-0816,大阪府茨木市永代町6-2 スポーツプラザ茨木ビル1F阪急京都本線 茨木市駅 西出口より徒歩4分（受付：1F）,平日,16:00,22:00,会員,夕方フリータイム,1570
阪急茨木店,567-0816,大阪府茨木市永代町6-2 スポーツプラザ茨木ビル1F阪急京都本線 茨木市駅 西出口より徒歩4分（受付：1F）,平日,16:00,22:00,シニア,夕方フリータイム,1570
阪急茨木店,567-0816,大阪府茨木市永代町6-2 スポーツプラザ茨木ビル1F阪急京都本線 茨木市駅 西出口より徒歩4分（受付：1F）,平日,16:00,22:00,一般,夕方フリータイム,1800
阪急茨木店,567-0816,大阪府茨木市永代町6-2 スポーツプラザ茨木ビル1F阪急京都本線 茨木市駅 西出口より徒歩4分（受付：1F）,金土日祝祝前,16:00,22:00,学生会員,夕方フリータイム,1670
阪急茨木店,567-0816,大阪府茨木市永代町6-2 スポーツプラザ茨木ビル1F阪急京都本線 茨木市駅 西出口より徒歩4分（受付：1F）,金土日祝祝前,16:00,22:00,学生,夕方フリータイム,1880
阪急茨木店,567-0816,大阪府茨木市永代町6-2 スポーツプラザ茨木ビル1F阪急京都本線 茨木市駅 西出口より徒歩4分（受付：1F）,金土日祝祝前,16:00,22:00,会員,夕方フリータイム,1790
阪急茨木店,567-0816,大阪府茨木市永代町6-2 スポーツプラザ茨木ビル1F阪急京都本線 茨木市駅 西出口より徒歩4分（受付：1F）,金土日祝祝前,16:00,22:00,シニア,夕方フリータイム,1790
阪急茨木店,567-0816,大阪府茨木市永代町6-2 スポーツプラザ茨木ビル1F阪急京都本線 茨木市駅 西出口より徒歩4分（受付：1F）,金土日祝祝前,16:00,22:00,一般,夕方フリータイム,2080
阪急茨木店,567-0816,大阪府茨木市永代町6-2 スポーツプラザ茨木ビル1F阪急京都本線 茨木市駅 西出口より徒歩4分（受付：1F）,平日,19:00,5:00,学生会員,30分,390
阪急茨木店,567-0816,大阪府茨木市永代町6-2 スポーツプラザ茨木ビル1F阪急京都本線 茨木市駅 西出口より徒歩4分（受付：1F）,平日,19:00,5:00,学生,30分,400
阪急茨木店,567-0816,大阪府茨木市永代町6-2 スポーツプラザ茨木ビル1F阪急京都本線 茨木市駅 西出口より徒歩4分（受付：1F）,平日,19:00,5:00,会員,30分,450
阪急茨木店,567-0816,大阪府茨木市永代町6-2 スポーツプラザ茨木ビル1F阪急京都本線 茨木市駅 西出口より徒歩4分（受付：1F）,平日,19:00,5:00,シニア,30分,450
阪急茨木店,567-0816,大阪府茨木市永代町6-2 スポーツプラザ茨木ビル1F阪急京都本線 茨木市駅 西出口より徒歩4分（受付：1F）,平日,19:00,5:00,一般,30分,490
阪急茨木店,567-0816,大阪府茨木市永代町6-2 スポーツプラザ茨木ビル1F阪急京都本線 茨木市駅 西出口より徒歩4分（受付：1F）,金土日祝祝前,19:00,5:00,学生会員,30分,470
阪急茨木店,567-0816,大阪府茨木市永代町6-2 スポーツプラザ茨木ビル1F阪急京都本線 茨木市駅 西出口より徒歩4分（受付：1F）,金土日祝祝前,19:00,5:00,学生,30分,490
